a,1
aa,5
aaa,5
aaas,5
aachen,5
aad,5
aalborg,5
aalto,5
aam,5
aapa,5
aardvark,5
aardwolf,5
aargh,5
aarhus,5
aaron,5
aarp,5
aau,5
aaup,5
ab,5
aba,5
abaca,5
aback,5
abacus,5
abadan,5
abaddon,5
abaft,5
abaht,5
abakan,5
abalone,5
abandon,1
abandoned,5
abase,4
abash,4
abashed,3
abate,3
abatement,5
abatis,5
abattoir,5
abaxial,5
abaya,5
abba,5
abbacy,5
abbas,5
abbasid,5
abbatial,5
abbe,5
abbess,5
abbevillian,5
abbey,5
abbot,5
abbreviate,3
abbreviation,2
abc,5
abd,5
abdabs,5
abdicate,3
abdomen,5
abdominal,5
abduct,3
abductee,5
abduction,5
abductor,5
abduh,5
abeam,5
abecedarian,5
abed,5
abel,5
abelard,5
abele,5
abelia,5
abelian,5
abenaki,5
abeokuta,5
aberdeenshire,5
aberdonian,5
aberfan,5
aberrant,4
aberration,4
abertawe,5
abet,4
abeyance,4
abh,5
abhor,3
abhorrence,5
abhorrent,3
abide,2
abiding,5
abidjan,5
abigail,5
ability,1
abiogenesis,5
abiotic,5
abitur,5
abject,4
abjure,4
abkhaz,5
abkhazia,5
ablation,5
ablative,5
ablaut,5
ablaze,3
able,1
abled,5
ableism,5
abloom,5
ablution,4
ably,5
abm,5
abnaki,5
abnegate,4
abnegation,4
abnormal,1
abnormality,5
abo,5
aboard,1
abode,5
abolish,2
abolition,2
abolitionist,5
abomasum,5
abomey,5
abominable,5
abominate,4
abomination,5
aboral,5
aboriginal,3
aboriginality,5
aborigine,5
aborning,5
abort,2
abortifacient,5
abortion,2
abortionist,5
abortive,3
aboulia,5
abound,3
about,1
above,1
aboveboard,4
abp,5
abracadabra,5
abrade,4
abraham,5
abrahams,5
abrasion,3
abrasive,4
abrazo,5
abreact,5
abreaction,5
abreast,2
abridge,3
abridgement,5
abroad,1
abrogate,4
abrupt,2
abruption,5
abruzzi,5
abs,5
abscess,5
abscissa,5
abscission,4
abscond,4
abseil,5
absence,1
absent,1
absentee,5
absenteeism,4
absinth,5
absolute,1
absolutely,1
absolution,5
absolutism,5
absolutize,5
absolve,3
absonant,5
absorb,1
absorbable,5
absorbance,5
absorbed,5
absorbent,5
absorbing,3
absorptiometer,5
absorption,2
absquatulate,5
abstain,3
abstemious,4
abstention,4
abstentious,4
abstinence,3
abstinent,4
abstract,1
abstracted,5
abstraction,3
abstractionism,5
abstruse,3
absurd,2
absurdism,5
absurdity,2
abta,5
abubble,5
abuja,5
abulia,5
abuna,5
abundance,2
abundant,1
abundantly,5
abura,5
abuse,1
abuser,5
abusive,2
abustle,5
abut,4
abutilon,5
abutment,5
abutter,5
abuzz,5
abv,5
abysm,5
abysmal,4
abyss,5
abyssal,5
abyssinia,5
abyssinian,5
ac,5
acacia,5
academe,5
academia,5
academic,1
academical,5
academician,2
academicism,5
academy,1
acadia,5
acadian,5
acajou,5
acalculia,5
acanthamoeba,5
acanthocephala,5
acanthodian,5
acanthus,5
acapulco,5
acara,5
acari,5
acaricide,5
acaroid,5
acarology,5
acarpous,4
acas,5
acatalectic,5
acausal,5
acca,5
accaroid,5
accede,4
accelerando,5
accelerant,5
accelerate,1
acceleration,1
accelerator,5
accelerometer,5
accent,1
accented,5
accentor,5
accentuate,3
accentuation,5
accept,1
acceptable,1
acceptance,1
acceptant,5
acceptation,5
acceptor,5
access,1
accessary,5
accessible,2
accession,5
accessorize,5
accessory,1
acciaccatura,5
accidence,5
accident,1
accidental,1
accidie,5
accipiter,5
accipitrine,5
acclaim,2
acclamation,5
acclimate,4
acclimatize,5
acclivity,5
accolade,4
accommodate,1
accommodating,4
accommodation,1
accommodationist,5
accompaniment,5
accompanist,5
accompany,1
accomplice,3
accomplish,1
accomplished,3
accomplishment,2
accord,1
accordance,1
accordant,5
according,5
accordingly,1
accordion,5
accost,3
accouchement,5
accoucheur,5
account,1
accountability,2
accountable,2
accountancy,2
accountant,2
accounting,2
accoutre,5
accoutrement,5
accra,5
accredit,5
accredited,5
accrete,4
accretion,4
accrue,4
acculturate,5
accumulate,1
accumulation,2
accumulative,2
accumulator,5
accuracy,1
accurate,1
accursed,5
accurst,5
accusal,5
accusation,2
accusative,5
accusatorial,5
accusatory,5
accuse,1
accused,5
accusing,5
accustom,1
accustomed,1
ace,2
acedia,5
acellular,5
acentric,5
acephalous,5
acer,5
acerb,5
acerbic,4
acerbity,4
acesulfame,5
acetabulum,5
acetal,5
acetaldehyde,5
acetamide,5
acetaminophen,5
acetanilide,5
acetate,5
acetobacter,5
acetogenic,5
acetonaemia,5
acetone,5
acetonitrile,5
acetous,5
acetyl,5
acetylate,5
acetylcholine,5
acetylcholinesterase,5
acetylene,5
acetylide,5
ach,5
achaar,5
achaea,5
achaean,5
achaemenid,5
achalasia,5
achar,5
acharnement,5
acharya,5
achates,5
achcha,5
ache,1
achebe,5
achene,5
achernar,5
acheron,5
acheson,5
acheulian,5
achieve,1
achievement,1
achiever,5
achillea,5
achilles,5
achimenes,5
achinese,5
achiote,5
achiral,5
achkan,5
achlorhydria,5
acholi,5
achondrite,5
achondroplasia,5
achromat,5
achromatic,4
achy,5
acicular,5
acid,1
acidic,5
acidify,5
acidimetry,5
acidity,2
acidly,5
acidophil,5
acidophilic,5
acidophilus,5
acidosis,5
acidulate,5
acidulous,5
acinus,5
ackee,5
ackers,5
acknowledge,2
acknowledgement,2
acl,5
aclu,5
acme,4
acmeist,5
acne,5
acol,5
acolyte,4
aconcagua,5
aconite,5
aconitine,5
acorn,4
acouchi,5
acoustic,3
acoustician,5
acquaint,2
acquaintance,1
acquainted,4
acquiesce,4
acquiescent,5
acquire,1
acquired,4
acquirement,5
acquisition,2
acquisitive,3
acquit,3
acquittal,4
acquittance,5
acrasia,5
acre,1
acreage,5
acrid,3
acridine,5
acriflavine,5
acrilan,5
acrimonious,3
acrimony,3
acrobat,4
acrobatic,5
acrobatics,5
acrocyanosis,5
acrolect,5
acromegaly,5
acronym,4
acropetal,5
acrophobia,4
acropolis,5
across,1
acrostic,5
acrux,5
acrylamide,5
acrylic,5
acrylonitrile,5
act,1
actaeon,5
actant,5
acth,5
actin,5
acting,2
actinian,5
actinic,5
actinide,5
actinium,5
actinolite,5
actinometer,5
actinomorphic,5
actinomycete,5
action,1
actionable,5
actioner,5
activate,2
active,1
activism,5
activist,2
activity,1
actomyosin,5
actor,1
actress,1
actressy,5
actual,1
actuality,5
actualize,5
actually,1
actuarial,4
actuary,5
actuate,4
acuity,4
aculeate,5
acumen,3
acuminate,5
acupressure,5
acupuncture,2
acushla,5
acutance,5
acute,1
acw,5
acyclic,5
acyclovir,5
acyl,5
acylate,5
ad,1
ada,5
adage,3
adagio,5
adam,5
adamant,4
adamantine,5
adams,5
adana,5
adapt,1
adaptable,3
adaptation,2
adaptationism,5
adaption,5
adaptive,2
adaptogen,5
adaptor,5
adar,5
adas,5
adaxial,5
adc,5
add,1
adda,5
addams,5
addax,5
addendum,4
adder,5
addict,2
addicted,3
addiction,2
addictive,2
addison,5
addisonian,5
addition,1
additional,1
additionally,5
additive,3
addle,4
addled,5
addorsed,5
address,1
addressable,5
addressee,5
adduce,4
adduct,5
adductor,5
adelaide,5
aden,5
adenauer,5
adenine,5
adenocarcinoma,5
adenoids,5
adenoma,5
adenosine,5
adenovirus,5
adept,3
adequacy,2
adequate,1
adequately,2
adf,5
adhd,5
adhere,2
adherence,2
adherent,3
adhesion,5
adhesive,3
adhibit,5
adhocracy,5
adiabatic,5
adieu,5
adios,5
adipocere,5
adipocyte,5
adipose,5
adit,5
adivasi,5
adjacent,2
adjective,1
adjigo,5
adjoin,3
adjoining,3
adjoint,5
adjourn,3
adjt,5
adjudge,5
adjudicate,4
adjunct,3
adjunction,5
adjure,5
adjust,1
adjustment,2
adjutant,5
adjuvant,5
adland,5
adler,5
adlib,4
adman,5
admass,5
admeasurement,5
admi,5
admin,5
adminicle,5
administer,2
administrate,2
administration,1
administrative,2
administrator,5
administratrix,5
admirable,2
admiral,5
admiralty,5
admiration,2
admire,1
admirer,5
admissible,5
admission,1
admit,1
admittance,2
admittedly,2
admix,5
admixture,5
admonish,3
admonitory,5
adn,5
adnate,5
adnexa,5
adnominal,5
adnyamathanha,5
ado,5
adobe,3
adobo,5
adolescence,2
adolescent,2
adonis,5
adopt,1
adoption,2
adoptionist,5
adoptive,5
adorable,2
adoral,5
adore,2
adorn,3
adorno,5
adp,5
adpressed,5
adr,5
adrenal,5
adrenalin,5
adrenalized,5
adrenergic,5
adrenocorticotrophin,5
adret,5
adriatic,5
adrift,5
adroit,3
adscititious,5
adsl,5
adsorb,5
adsorbate,5
adsorbent,5
adstratum,5
adt,5
aduki,5
adulate,4
adulation,5
adullamite,5
adult,1
adulterant,5
adulterate,4
adulterer,5
adulteress,5
adulterine,5
adulterous,5
adultery,5
adultescent,5
adulthood,2
adumbrate,4
adust,5
advaita,5
advance,1
advanced,1
advancement,2
advantage,1
advantaged,5
advantageous,2
advection,5
advent,2
adventist,5
adventitia,5
adventitious,4
adventure,1
adventurer,2
adventuress,5
adventurism,5
adventurous,2
adverb,1
adverbial,5
adversarial,5
adversary,2
adversative,5
adverse,2
adversity,2
advert,4
advertise,2
advertisement,1
advertising,2
advertorial,5
advice,1
advisable,1
advise,1
advised,5
advisedly,5
advisement,5
adviser,2
advisor,2
advisory,2
advocaat,5
advocacy,2
advocate,2
advowson,5
advt,5
adygea,5
adyghe,5
adytum,5
adze,5
adzuki,5
ae,5
aea,5
aedile,5
aeeu,5
aegean,5
aegis,4
aegisthus,5
aegrotat,5
aelfric,5
aeneas,5
aeneid,5
aeolian,5
aeolus,5
aeon,5
aepyornis,5
aer,5
aerate,4
aerated,5
aerenchyma,5
aerial,2
aerialist,5
aerie,5
aero,5
aerobatics,5
aerobe,5
aerobic,3
aerobics,5
aerobiology,5
aerobrake,5
aerodrome,5
aerodynamic,5
aerodynamics,5
aeroelasticity,5
aerofoil,5
aerogel,5
aerogramme,5
aerolite,5
aerology,5
aeromagnetic,5
aeromedical,5
aeromodelling,5
aeronaut,5
aeronautics,4
aeronomy,5
aerophagy,5
aerophone,5
aeroplane,1
aeroshell,5
aerosol,5
aerosolize,5
aerospace,5
aerostat,5
aerotowing,5
aeschines,5
aeschylus,5
aesculapian,5
aesop,5
aesthete,4
aesthetic,2
aesthetician,5
aestheticism,5
aestheticize,5
aesthetics,2
aestival,5
aestivate,5
aestivation,5
aetatis,5
aether,5
aetiology,5
af,5
afar,5
afara,5
afc,5
afdc,5
afeared,5
afebrile,5
affable,3
affair,1
affaire,5
affect,1
affectation,4
affected,4
affection,1
affectionate,2
affective,5
affenpinscher,5
afferent,5
affiance,5
affiant,5
affidavit,4
affiliate,2
affiliation,2
affinal,5
affine,5
affined,5
affinity,3
affirm,2
affirmation,2
affirmative,2
affix,2
affixation,2
afflatus,5
afflict,3
afflicting,3
affliction,4
affluence,2
affluent,2
affluenza,5
afflux,5
afforce,5
afford,1
affordability,2
affordable,2
afforest,5
affranchise,5
affray,5
affricate,5
affright,5
affront,4
afg,5
afghan,5
afghani,5
afghanistan,5
aficionado,5
afield,5
afire,5
afl,5
aflame,5
aflatoxin,5
afloat,2
aflutter,5
afm,5
afoot,5
afore,5
aforementioned,5
aforesaid,5
aforethought,5
afoul,5
afraid,1
afreet,5
afresh,5
africa,1
african,1
africana,5
africander,5
africanism,5
africanize,5
afrikaans,5
afrikander,5
afrikaner,5
afrit,5
afro,5
afrocentric,5
afrormosia,5
afrotropical,5
aft,5
after,1
afterbirth,5
afterburner,5
aftercare,5
afterdamp,5
afterdeck,5
afterglow,5
afterlife,5
aftermarket,5
aftermath,2
aftermost,5
afternoon,1
afterpains,5
afters,5
aftershave,5
aftershock,5
aftersun,5
aftertaste,5
afterthought,5
aftertouch,5
afterward,1
afterwards,2
afterword,5
afterworld,5
ag,5
aga,5
agadir,5
again,1
against,1
agal,5
agama,5
agamemnon,5
agamic,5
agamid,5
agammaglobulinaemia,5
agamospermy,5
agapanthus,5
agape,4
agar,5
agarbatti,5
agaric,5
agarose,5
agartala,5
agassi,5
agassiz,5
agate,5
agave,5
age,1
aged,2
ageing,2
ageism,5
ageless,5
agency,1
agenda,2
agent,1
aggadah,5
agglomerate,4
agglutinate,5
agglutinative,5
agglutinin,5
aggradation,5
aggrandize,4
aggravate,2
aggravated,5
aggravation,2
aggregate,2
aggregator,5
aggression,2
aggressive,1
aggressor,4
aggrieve,4
aggrieved,5
aggro,5
aghast,3
agile,3
agility,3
agin,5
aging,2
agism,5
agist,5
agitate,2
agitated,4
agitation,2
agitato,5
agitator,5
agitprop,5
agleam,5
aglet,5
agley,5
aglow,5
agm,5
agma,5
agnail,5
agnate,5
agnatha,5
agnesi,5
agni,5
agnolotti,5
agnosia,5
agnostic,4
ago,1
agog,4
agogic,5
agogo,5
agonist,5
agonistic,5
agonize,3
agonized,5
agonizing,5
agony,1
agora,5
agoraphobia,5
agostini,5
agouti,5
agr,5
agra,5
agrammatism,5
